ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY,CLM_COUNT,EXPOSURE
63581743,0,16-Mar-39,60,0,11,67000,No,,No,M,Doctors,Professional,14,Private,14230,11,Minivan,yes,No,3,0,18,Highly Urban/ Urban,0,0.189
132761049,0,21-Jan-56,43,0,11,91000,No,257000,No,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,yes,No,0,0,1,Highly Urban/ Urban,0,1
921317019,0,18-Nov-51,48,0,11,53000,No,,No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,No,2,0,10,Highly Urban/ Urban,0,1
727598473,0,5-Mar-64,35,1,10,16000,No,124000,Yes,F,High School,Clerical,5,Private,4010,4,SUV,no,No,3,0,10,Highly Urban/ Urban,0,0.828
450221861,0,5-Jun-48,51,0,14,,No,306000,Yes,M,Below High School,Blue Collar,32,Private,15440,7,Minivan,yes,No,0,0,6,Highly Urban/ Urban,0,0.729
743146596,0,17-May-49,50,0,,115000,No,244000,Yes,F,Doctors,Doctor,36,Private,18000,1,SUV,no,Yes,3,0,17,Highly Urban/ Urban,0,0.342
871024631,0,5-May-65,34,1,12,125000,Yes,,No,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,no,No,0,2946,7,Highly Urban/ Urban,3,1
792300541,0,28-Feb-45,54,0,,19000,No,,Yes,F,Below High School,Blue Collar,33,Private,8780,1,SUV,no,No,0,0,1,Highly Urban/ Urban,0,1
7945239,1,17-Sep-59,40,1,11,51000,Yes,,No,M,High School,Manager,21,Private,18930,6,Minivan,no,No,2,6477,1,Highly Urban/ Urban,2,0.396
3577610,0,21-Aug-55,44,2,12,43000,Yes,,No,F,High School,Blue Collar,30,Commercial,5900,10,SUV,no,No,0,0,10,Highly Rural/ Rural,0,1
892208080,1,14-Dec-61,37,2,,108000,No,334000,Yes,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,yes,Yes,10,4021,7,Highly Urban/ Urban,2,1
77382913,0,22-Nov-64,34,0,10,63000,No,,No,F,Bachelors,Clerical,34,Private,11200,1,SUV,no,No,0,2501,1,Highly Urban/ Urban,5,0.576
856886560,0,22-Oct-49,50,0,7,107000,No,,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,No,1,0,17,Highly Rural/ Rural,0,1
308455362,0,25-Dec-45,53,0,14,77000,No,,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,No,0,6077,11,Highly Urban/ Urban,3,0.291
989828809,0,19-Jun-56,43,0,5,53000,No,210000,Yes,F,Masters,Professional,36,Private,22420,7,Minivan,no,No,0,0,1,Highly Rural/ Rural,0,1
376482434,0,3-Mar-44,55,0,11,59000,No,180000,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,Yes,3,0,9,Highly Urban/ Urban,0,1
665591504,0,19-Jul-46,53,0,11,131000,No,,No,M,Doctors,Unknown,64,Commercial,28340,6,Panel Truck,yes,No,3,1267,10,Highly Urban/ Urban,3,0.282
713692930,0,17-Aug-64,35,2,,21000,Yes,,No,M,High School,Clerical,74,Private,9230,6,Pickup,no,Yes,0,0,4,Highly Rural/ Rural,0,1
588888550,0,17-Jan-54,45,0,0,0,No,107000,Yes,F,Below High School,Home Maker,48,Private,6000,1,SUV,no,No,3,2920,5,Highly Urban/ Urban,1,1
140015922,0,6-Aug-60,39,3,12,52000,Yes,181000,No,F,Bachelors,Clerical,43,Private,10590,6,SUV,no,No,0,0,13,Highly Rural/ Rural,0,1
162166370,0,19-Apr-40,59,0,12,87000,No,,No,M,High School,Manager,45,Private,15420,1,Minivan,yes,No,4,4111,1,Highly Urban/ Urban,2,0.261
884513944,0,20-Dec-56,42,0,11,60000,No,192000,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,No,0,0,16,Highly Urban/ Urban,0,0.543
627708979,0,14-Sep-65,34,3,13,34000,No,92000,Yes,F,Masters,Lawyer,27,Private,8300,7,SUV,no,No,0,0,20,Highly Urban/ Urban,0,1
