,Activation Function,nLayer,nHiddenNeuron,N Iteration,Loss,RMSE,RelErr,Pearson Corr,Time Elapsed
0,tanh,1,1,61,0.002285689545071193,0.06832621538352598,352.1419650631737,0.016383527942612247,0.7218499183654785
1,tanh,1,2,59,0.0012488686270125237,0.05235795444792669,206.77993476618678,0.004826623386329477,0.6837470531463623
2,tanh,1,3,59,0.0009514586883218088,0.043428684982866866,142.26445695350583,0.004428689889340041,0.6950888633728027
3,tanh,1,4,58,0.0004168913787015051,0.02831550727458394,60.47720963931228,-0.018857577166804827,0.9416089057922363
4,tanh,1,5,30,0.0005626927348479216,0.031586687026331065,75.25774595817927,-0.015491526006546767,0.36757922172546387
5,tanh,2,1,44,0.00015214177272705146,0.01835675898928932,25.417630622260184,0.007354390733509885,0.9732449054718018
6,tanh,2,2,24,9.201680131297529e-05,0.012934219053204195,12.618957446657584,0.004788293811705661,0.8109910488128662
7,tanh,2,3,31,0.000986037393571812,0.044566625540687674,149.81750342679578,0.006358879113750401,1.7027809619903564
8,tanh,2,4,24,0.00014783782310139306,0.015926758581757353,19.13365091744115,0.02009657141104646,0.4690728187561035
9,tanh,2,5,23,0.0003262270548143367,0.024599918387408052,45.6468049739319,-0.021216497582711966,0.4067199230194092
10,tanh,3,1,42,9.722942530233061e-05,0.014642103444560005,16.171488402644133,0.007239983269662037,0.8897230625152588
11,tanh,3,2,57,0.0010493052454814962,0.04611260570284498,160.39188063711583,0.013608378488420484,1.752851963043213
12,tanh,3,3,18,7.41988942025403e-05,0.011350309534182116,9.717587565884736,0.015792815920424984,0.3796958923339844
13,tanh,3,4,22,0.00023445851903552,0.020566873398295115,31.906531952320073,0.020257373886972026,0.47643017768859863
14,tanh,3,5,26,0.00023302727872644334,0.020562463483684908,31.89285072875062,-0.03030276135097571,0.5724918842315674
15,tanh,4,1,49,1.2010240249338646e-05,0.0039720308070495475,1.190058384700151,-0.02520042428237374,1.1710269451141357
16,tanh,4,2,47,0.0011682823148488404,0.0505029417037418,192.38730169857763,0.013824607540565248,1.1486010551452637
17,tanh,4,3,15,6.944337276777153e-05,0.010739594999352477,8.699992137306836,0.008712216314529684,0.3868882656097412
18,tanh,4,4,16,3.2439111473367476e-05,0.006875086221244496,3.565326853838644,-0.0006886295192285181,0.43309998512268066
19,tanh,4,5,20,7.158013118287217e-05,0.010948375952655671,9.04154100608593,0.0055626912091809675,0.5431070327758789
20,tanh,5,1,20,9.024553178137263e-06,0.003641063323261372,0.9999988858075064,0.00924423820392936,0.5676000118255615
21,tanh,5,2,42,0.0006162019046649362,0.035767296500499694,96.49732665893154,0.01419614067225765,1.2106046676635742
22,tanh,5,3,15,5.210295809137938e-05,0.009409989907818522,6.679152621816687,-0.005823087549602544,0.4604029655456543
23,tanh,5,4,18,0.00014517619581646304,0.015378628535974267,17.839318765890503,-0.0016399369335888129,0.5655839443206787
24,tanh,5,5,15,5.816550457378652e-05,0.009644672302457327,7.016459205012347,0.009608175085498227,0.4851877689361572
25,tanh,6,1,18,9.05698512811097e-06,0.003641105633430064,1.0000221264730051,0.007252540381735831,0.5929536819458008
26,tanh,6,2,13,2.0314419472710872e-05,0.0053814470378639725,2.184445395123841,-0.013821914480060678,0.43610692024230957
27,tanh,6,3,15,4.747754700054434e-05,0.00881555976557529,5.8619598608146095,0.01070570636643896,0.532642126083374
28,tanh,6,4,15,2.377438908730638e-05,0.00515685582595412,2.0059173347902934,0.019880367339491518,0.5483760833740234
29,tanh,6,5,19,0.00020891018566939693,0.01972593119483378,29.35067408819849,0.021291817290560802,0.7134411334991455
30,tanh,7,1,39,1.0413736767974882e-05,0.0036521894140807915,1.00611966787333,0.019344051312480782,1.4465138912200928
