x,y,group
0.2663142627,-0.048140063,0
-0.051529889,-0.875394655,0
-2.507380702,0.8441531634,1
0.0739518239,-1.058163007,0
0.045196206,0.0521929846,0
2.8999820401,1.9909926565,1
-0.553088076,-0.780531667,0
-2.21954065,-1.077165388,1
-2.637494057,-0.518874976,1
-2.624115463,1.7681912033,1
0.8300000825,2.3298940728,1
2.1191462893,-1.378683394,1
0.5753304694,0.0535847379,0
-0.104603986,0.5811647055,0
-2.083894686,2.7389206089,1
3.2712947735,-1.723868553,1
0.7230567041,-3.15367358,1
2.2160876724,-1.674011601,1
2.7640681456,-2.534095691,1
-0.871266906,3.4857614221,1
-3.6848326,-0.077299909,1
-0.948853393,2.3687163033,1
0.0034658096,0.0039630158,0
0.7044140178,-0.189887398,0
-2.000695044,-1.601433698,1
-0.402886162,-0.013204201,0
2.2720507002,-3.053337362,1
0.0463711372,0.0897418642,0
-0.980735835,0.0311788773,0
-0.578488358,0.0843997947,0
-3.542304383,1.2798492812,1
-1.951636771,3.330883781,1
-2.01921103,2.7897590006,1
2.5850389422,1.8286480536,1
2.3713850111,1.3261289517,1
0.290926179,0.1628895388,0
-0.421190605,0.1086371992,0
-0.584312375,2.4951219802,1
0.1988152594,-3.759306507,1
2.2137237751,-2.425619464,1
-0.161069378,0.1567776619,0
-1.043988678,-0.500232054,0
-0.116047526,-0.274576996,0
-0.130048709,0.9218987031,0
1.9689466158,2.3181973646,1
-2.787865202,-2.6827833,1
-1.166433592,3.1415256232,1
0.9347978823,-0.461496032,0
0.1347253998,2.7040660449,1
3.1363250891,-0.613334469,1
-0.234654904,1.1174973722,0
0.145605755,0.3230224092,0
-0.342205612,3.243921273,1
2.8203736681,-0.248026151,1
-2.491591111,-2.134857857,1
-0.681866944,-0.623972826,0
2.6576672021,1.2186448927,1
-0.074985788,-0.049053971,0
-2.107448822,-2.647091292,1
0.0482880219,0.4309013017,0
0.1526794867,0.0658398008,0
3.1995579929,0.2448704462,1
1.683546708,2.4552998788,1
-0.293693684,-0.497813615,0
2.4942108885,0.3935187914,1
-3.170978598,-0.99927177,1
1.9750096801,2.2106652967,1
0.8506235006,-0.636618163,0
0.9161258897,0.6244250197,0
-0.576422402,-0.461490172,0
1.0708446944,2.5037518477,1
-2.55960631,0.5822997686,1
-0.752840167,0.5374818369,0
2.1321814038,-1.349155569,1
-2.946115121,1.4542116074,1
3.0789732779,-0.58548587,1
3.5156350572,1.1930410964,1
0.7410983938,-0.109378368,0
3.2693823077,-1.559275365,1
0.1242957692,-0.388621211,0
0.1367049528,0.7266428879,0
-3.172123203,0.4325463673,1
3.1570960476,0.1851066224,1
-0.590548976,-0.728520325,0
-0.146882563,3.3303304556,1
-0.123174447,0.2063032046,0
2.7619069103,-1.050186204,1
-0.035453829,0.9684487929,0
0.0808538746,-0.015948311,0
-2.845181422,2.1670725655,1
0.5325149827,-0.390717804,0
-2.401740698,2.0532131654,1
0.0083454281,0.5781541547,0
-2.836175115,1.3833635031,1
0.4300996383,0.4557721698,0
-0.3133725,0.1047034576,0
2.5670205575,0.2201772079,1
-1.800397841,-3.066496199,1
3.387216764,1.7705827547,1
2.6356853771,1.1217873439,1
2.7498348731,2.6342324933,1
-2.517734696,1.4158287594,1
0.5787510144,-0.948825732,0
3.5949977714,1.5265310571,1
-1.720972291,-3.00020644,1
1.1860397146,-0.266933385,0
-3.355355622,-1.21123025,1
0.0164117461,0.0495422742,0
-0.339170682,-0.762637239,0
1.4045276147,2.0703063595,1
3.6732531551,0.3247317101,1
2.3743825092,-2.91039987,1
-3.015458775,-1.845653995,1
0.0567472879,-0.276539194,0
-2.438494246,0.3715090329,1
-2.03039785,-2.87475872,1
-0.298877588,-0.919617946,0
-0.968935679,-2.841834337,1
-1.102969023,0.4405728789,0
0.0083393087,-1.04088268,0
-2.476865656,1.8218961733,1
-2.60354496,1.6562793536,1
0.3216742603,3.7155466995,1
-0.630439891,2.5916308099,1
0.6016972976,0.0680544349,0
0.2135785478,-0.262801074,0
-0.059043773,1.1826986174,0
0.9162191983,-0.715233272,0
-1.964878674,2.0878742131,1
-0.809014243,-2.793206249,1
-1.599881797,3.3260524859,1
-0.230195628,0.9455015411,0
2.6618521088,-2.699922758,1
-0.075683739,-0.040937909,0
1.8792461543,-2.09466679,1
0.3808180491,-0.027442154,0
1.0991228596,-2.235350526,1
-2.538628949,1.0041882471,1
-0.103620807,0.0752471507,0
-2.93213536,0.9087738706,1
0.4248858718,3.0252757895,1
-2.990734877,-0.983877423,1
-0.389259181,-0.63127522,0
0.2125393458,-3.158541,1
0.206390659,-0.150509546,0
0.1927581942,-0.670632193,0
0.0696141969,-0.358489227,0
1.3369303408,3.4741650821,1
-0.225153578,-0.193233887,0
0.0035268241,0.0016831758,0
-0.18960146,0.8721301785,0
-1.715359172,-3.332510631,1
-3.096040919,0.8258568467,1
0.5043601204,3.3466241134,1
0.1488091326,-0.012118647,0
-0.424943554,-2.605321621,1
1.943606464,2.3294573553,1
-1.164541245,-0.190776669,0
2.0908618676,-2.87942993,1
2.3193536746,3.1457927159,1
0.3493610367,-0.754587721,0
0.3270662219,0.9675852259,0
-0.296644862,-0.49487375,0
-1.360775263,2.5295884474,1
-2.789845241,2.5968165775,1
-0.181575706,-0.077828291,0
-0.723267186,0.6872598068,0
2.7255770319,-0.394253135,1
0.5367759062,1.1019404036,0
-0.11902967,-0.001522994,0
-1.452400768,2.7885331969,1
-3.446717013,-1.31924338,1
3.5446692783,-1.134484358,1
2.525395244,-2.620378325,1
3.815405591,-0.159132483,1
-0.03021388,-0.638141681,0
0.2920148574,-0.559872708,0
-2.028941125,2.6208721908,1
0.1279150081,-0.1270504,0
0.4403559143,0.6752731195,0
2.6641228117,0.2608286089,1
0.1634490749,-0.809367878,0
-0.292149462,0.6504599569,0
-0.578855869,0.5200001911,0
-1.169078147,-2.390876192,1
1.6003821882,2.6536691752,1
-0.736005959,0.0202463214,0
-2.678331217,1.418627738,1
-2.370844315,2.5713032838,1
-1.11975328,0.399684888,0
0.0266275907,-0.006143961,0
-2.257600549,2.3637770183,1
-2.005182585,-1.566246688,1
0.9220784447,3.5455723736,1
0.3348718554,0.1458756133,0
0.2417777179,-0.045036456,0
-0.082803054,-0.348483615,0
0.752088775,-3.68430387,1
0.2990567215,0.3622153484,0
-2.812864507,-2.256719504,1
-3.221902963,1.1263522273,1
0.1682452547,0.1216181098,0
-3.451219127,-0.986264793,1
0.004940445,-0.004242707,0
-2.933350926,-0.359720819,1
-2.02079388,2.3483926338,1
-0.003568139,0.5591700509,0
-0.070143597,0.4992324806,0
2.4947402068,-1.056259463,1
-2.048684118,-1.700191793,1
0.1622341891,-0.160640047,0
0.1356238344,-0.971649905,0
-1.070781675,0.1073553672,0
2.2482253705,2.9246308797,1
1.054716385,-0.537498419,0
2.1181415949,3.2654484936,1
-2.470904909,-0.76962437,1
-0.014879438,0.4599234392,0
-2.767842704,-2.5081206,1
